star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
3.53655329e+05,5.39999130,-1.56975957e-11,2.21342558,3.75752838,1.11433318,-1.34589177,1.67444991e-04,6.76122242,-5.24556919e-01,-1
3.65662227e+05,5.39999111,-1.61119113e-11,2.22997838,3.76440292,1.10886050,-1.34596664,1.88217603e-04,6.77531128,-4.74719012e-01,-1
3.77000452e+05,5.39999093,-1.64749479e-11,2.24712821,3.77244949,1.10134228,-1.34548204,2.18999358e-04,6.78879052,-4.27457659e-01,-1
3.87914488e+05,5.39999074,-1.68424931e-11,2.26507730,3.78110018,1.09301543,-1.34512639,2.61053257e-04,6.80197569,-3.81574381e-01,-1
3.98418919e+05,5.39999057,-1.72184937e-11,2.28371713,3.79022981,1.08407610,-1.34515320,3.17673912e-04,6.81490636,-3.36949638e-01,-1
4.08631578e+05,5.39999039,-1.76206195e-11,2.30312325,3.79965337,1.07493203,-1.34519772,3.93275513e-04,6.82773959,-2.93066838e-01,-1
4.18643153e+05,5.39999021,-1.80718091e-11,2.32337077,3.80924578,1.06587097,-1.34537480,4.80560443e-04,6.84059884,-2.49494513e-01,-1
4.28460207e+05,5.39999003,-1.85758431e-11,2.34441423,3.81897460,1.05693506,-1.34562271,5.93431434e-04,6.85349862,-2.06163691e-01,-1
4.38080908e+05,5.39998985,-1.91311045e-11,2.36618034,3.82882193,1.04812346,-1.34562807,7.40978576e-04,6.86645200,-1.63047784e-01,-1
4.47498107e+05,5.39998966,-1.97380419e-11,2.38859680,3.83877715,1.03942126,-1.34559479,9.35537373e-04,6.87946369,-1.20152883e-01,-1
4.56710973e+05,5.39998948,-2.03935447e-11,2.41158220,3.84883089,1.03080648,-1.34553500,1.19611745e-03,6.89254502,-7.74849688e-02,-1
4.65719482e+05,5.39998929,-2.11008454e-11,2.43505998,3.85897541,1.02225631,-1.34551530,1.55204248e-03,6.90569204,-3.50315589e-02,-1
4.74523389e+05,5.39998910,-2.18534815e-11,2.45895933,3.86920514,1.01374655,-1.34555368,2.04613281e-03,6.91889496,7.22141464e-03,-1
4.83124834e+05,5.39998891,-2.26527372e-11,2.48320682,3.87951610,1.00524836,-1.34550702,2.73960053e-03,6.93215120,4.92829921e-02,-1
4.91528315e+05,5.39998871,-2.34972429e-11,2.50772688,3.88990541,9.96729775e-01,-1.34557554,3.77187890e-03,6.94547573,9.11791915e-02,-1
4.99740711e+05,5.39998852,-2.43821146e-11,2.53245344,3.90037029,9.88163299e-01,-1.34563296,5.23145344e-03,6.95888009,1.32903496e-01,-1
5.07767983e+05,5.39998832,-2.53053902e-11,2.55732311,3.91090936,9.79519993e-01,-1.34560939,7.30053332e-03,6.97236382,1.74467061e-01,-1
5.15619076e+05,5.39998811,-2.62629083e-11,2.58227028,3.92152158,9.70769126e-01,-1.34561951,1.01904230e-02,6.98592991,2.15898326e-01,-1
5.23303627e+05,5.39998791,-2.72507076e-11,2.60723001,3.93220693,9.61878292e-01,-1.34565515,1.40885174e-02,6.99959193,2.57215184e-01,-1
5.30834590e+05,5.39998770,-2.82652567e-11,2.63215167,3.94297136,9.52810273e-01,-1.34565991,1.91312700e-02,7.01319964,2.98089364e-01,-1
5.38213030e+05,5.39998748,-2.92997213e-11,2.65696159,3.95380458,9.43548785e-01,-1.34565522,2.50496867e-02,7.02715700,3.39199206e-01,-1
5.45450681e+05,5.39998727,-3.03472134e-11,2.68162449,3.96471316,9.34063069e-01,-1.34563269,3.10870235e-02,7.04118804,3.80178718e-01,-1
5.52552714e+05,5.39998705,-3.14016186e-11,2.70608850,3.97569908,9.24323235e-01,-1.34558399,3.61363170e-02,7.05533524,4.21037499e-01,-1
5.59531343e+05,5.39998682,-3.24551580e-11,2.73030511,3.98676259,9.14304517e-01,-1.34556886,3.96789359e-02,7.06959883,4.61773636e-01,-1
5.66392526e+05,5.39998660,-3.35010545e-11,2.75424074,3.99790393,9.03989661e-01,-1.34556731,4.16245670e-02,7.08397321,5.02380827e-01,-1
5.73145538e+05,5.39998637,-3.45304600e-11,2.77784446,4.00912489,8.93349605e-01,-1.34556916,4.21766671e-02,7.09846063,5.42870584e-01,-1
5.79800031e+05,5.39998613,-3.55357960e-11,2.80108674,4.02042456,8.82371411e-01,-1.34557054,4.20495445e-02,7.11306464,5.83233551e-01,-1
5.86370643e+05,5.39998589,-3.65046928e-11,2.82390769,4.03180606,8.71018868e-01,-1.34556839,4.17427820e-02,7.12776122,6.23432303e-01,-1
5.92866613e+05,5.39998565,-3.74271861e-11,2.84626443,4.04327034,8.59268692e-01,-1.34555470,4.14140570e-02,7.14255566,6.63465429e-01,-1
